Sl. No.,State/UT,Sales (in Rs. Crore)
1,Andaman and Nicobar Islands,0.04
2,Andhra Pradesh,5.48
3,Arunachal Pradesh,0.24
4,Assam,7.49
5,Bihar,100.99
6,Chandigarh,3.08
7,Chhattisgarh,23.24
8,Delhi,26.44
9,Goa,0.65
10,Gujarat,20.01
11,Haryana,14.9
12,Himachal Pradesh,2.53
13,Jammu and Kashmir,34.06
14,Jharkhand,13.11
15,Karnataka,115.3
16,Kerala,175.55
17,Ladakh,0.15
18,Lakshadweep,NA
19,Madhya Pradesh,2.83
20,Maharashtra,11.78
21,Manipur,4.34
22,Meghalaya,0.69
23,Mizoram,0.97
24,Nagaland,0.48
25,Odisha,40.6
26,Puducherry,2.64
27,Punjab,33.29
28,Rajasthan,24.95
29,Sikkim,2.14
30,Tamil Nadu,80.95
31,Telangana,4.25
32,Dadra and Nagar Haveli and Daman and Diu,0.17
33,Tripura,1.78
34,Uttar Pradesh,160.44
35,Uttarakhand,16.26
36,West Bengal,104
