generic_id,generic_name,therapeutic_class
1,Amoxycillin,antibiotic
2,Azithromycin,antibiotic
3,Ambroxol,bronchodilator
4,Fexofenadine,antihistamine
5,Pheniramine,other
6,Montelukast,antihistamine
7,Hydroxyzine,other
8,Phenylephrine,antihistamine
9,Ranitidine,antacid
10,Phenylephrine,corticosteroid
11,Clonidine,other
12,Promethazine,other
13,Albendazole,other
14,Salbutamol,bronchodilator
15,Alprazolam,other
16,Aceclofenac,antacid
17,Lorazepam,other
18,Domperidone,antacid
19,Spironolactone,diuretic
20,Amlodipine,antihypertensive
21,Ticagrelor,other
22,Disodium Hydrogen Citrate,other
23,Aceclofenac,analgesic
24,Alfuzosin,other
25,Vitamin D3,other
26,Camylofin,analgesic
27,Chlorpheniramine Maleate,antihistamine
28,Acebrophylline,other
29,Erythromycin,other
30,Guaifenesin,bronchodilator
31,Lidocaine,other
32,Dextromethorphan Hydrobromide,other
33,Atorvastatin,other
34,Sacubitril,other
35,Amitriptyline,antidepressant
36,Isoniazid,other
37,Nimesulide,analgesic
38,Amikacin,other
39,Vitamin A,other
40,Azathioprine,other
41,Glimepiride,antidiabetic
42,Acenocoumarol,other
43,Nitroglycerin,other
44,Fluticasone Propionate,other
45,Levosalbutamol,corticosteroid
46,Adapalene,other
47,Acyclovir,other
48,Cyproheptadine,other
49,Ambroxol,other
50,Acotiamide,other
51,Anti Rh D Immunoglobulin,other
52,Cetirizine,antihistamine
53,Ampicillin,other
54,Furosemide,diuretic
55,Fluticasone Furoate,other
56,Azelaic Acid,other
57,Memantine,other
58,Empagliflozin,antidiabetic
59,Avanafil,other
60,Paracetamol,analgesic
61,Hydrochlorothiazide,diuretic
62,Diosmin,other
63,Fluconazole,other
64,Amantadine,other
65,Thiocolchicoside,analgesic
66,Adrenaline,other
67,Paracetamol/Acetaminophen,analgesic
68,Bromhexine,other
69,Orciprenaline,other
70,Buprenorphine,other
71,Camphor,other
72,Oseltamivir Phosphate,other
73,Ambroxol,antihistamine
74,Levocloperastine,other
75,Atropine,other
76,Testosterone,other
77,Sildenafil,other
78,Human insulin,other
79,Atenolol,antihypertensive
80,Mifepristone,other
81,Apremilast,other
82,Insulin Glulisine,other
83,Telmisartan,antihypertensive
84,Loperamide,other
85,S-Amlodipine,antihypertensive
86,Guaifenesin,other
87,Sitagliptin,antidiabetic
88,Methylcobalamin,other
89,Ofloxacin,other
90,Clindamycin,other
91,Aripiprazole,other
92,Loteprednol etabonate,other
93,Melatonin,other
94,Levocetirizine,antihistamine
95,Carboxymethylcellulose,other
96,Cilnidipine,other
97,Amorolfine,other
98,Apixaban,other
99,Bilastine,other
100,Acamprosate,other
101,Aluminium Hydroxide,other
102,Moxifloxacin,corticosteroid
103,Desonide,other
104,Ketoconazole,other
105,Albumin,other
106,Caffeine,analgesic
107,Choline fenofibrate,other
108,Moxifloxacin,other
109,Ursodeoxycholic Acid,other
110,Glycopyrrolate,other
111,Lindane,other
112,Methylphenidate,other
113,Ivermectin,other
114,Alendronic Acid,other
115,Anastrozole,other
116,Donepezil,other
117,Prochlorperazine,other
118,Ciprofloxacin,antibiotic
119,Drotaverine,analgesic
120,Alfacalcidol,other
121,Choline Salicylate,other
122,Brinzolamide,other
123,Rifampicin,other
124,Dihydralazine,other
125,Calcium Carbonate,other
126,Standard Cobra Venom,other
127,Acitretin,other
128,Brimonidine,other
129,Isotretinoin,other
130,Dapsone,other
131,Ranibizumab,other
132,Aspirin,other
133,Sodium Chloride,other
134,Alteplase,other
135,Ketorolac,other
136,Amitriptyline,antacid
137,Metadoxine,other
138,Potassium Citrate,other
139,Sodium Hyaluronate,other
140,Aprepitant,other
141,Ornidazole,other
142,Alpha Ketoanalogue,other
143,Diloxanide,other
144,Metformin,antidiabetic
145,Losartan,antihypertensive
146,Azilsartan medoxomil,other
147,Cefuroxime,other
148,Streptomycin,other
149,Etizolam,other
150,Alprazolam,antidepressant
151,Pregabalin,other
152,Benzoyl Peroxide,other
153,Flupenthixol,other
154,Hydrocortisone,other
155,Epalrestat,other
156,Itraconazole,other
157,Tretinoin,other
158,Adenosine,other
159,Levofloxacin,other
160,Camylofin,other
161,Progesterone,other
162,Bupivacaine,other
163,Edaravone,other
164,Nepafenac,other
165,Dulaglutide,other
166,Rosuvastatin,other
167,Minoxidil,other
168,Imipramine,other
169,Hydroxypropylmethylcellulose,other
170,Recombinant Human Erythropoietin Alfa,other
171,Carbimazole,other
172,L-Leucine,other
173,Sodium Bicarbonate,other
174,Lidocaine,corticosteroid
175,Clonazepam,antidepressant
176,Levosalbutamol,bronchodilator
177,Alcaftadine,other
178,Dicyclomine,other
179,Clonazepam,other
180,Etofylline,bronchodilator
181,Glycine,other
182,Torasemide,other
183,Cefixime,antibiotic
