manufacturer_id,manufacturer_name
1,Glaxo SmithKline Pharmaceuticals Ltd
2,Alembic Pharmaceuticals Ltd
3,Glenmark Pharmaceuticals Ltd
4,Sanofi India Ltd
5,Abbott
6,Cipla Ltd
7,Dr Reddy's Laboratories Ltd
8,Cadila Pharmaceuticals Ltd
9,USV Ltd
10,Aristo Pharmaceuticals Pvt Ltd
11,Torrent Pharmaceuticals Ltd
12,Mankind Pharma Ltd
13,Sun Pharmaceutical Industries Ltd
14,Pfizer Ltd
15,Alkem Laboratories Ltd
16,RPG Life Sciences Ltd
17,Stadmed Pvt Ltd
18,Jagsonpal Pharmaceuticals Ltd
19,Lupin Ltd
20,Samarth Life Sciences Pvt Ltd
21,Zydus Cadila
22,J B Chemicals and Pharmaceuticals Ltd
23,Systopic Laboratories Pvt Ltd
24,Micro Labs Ltd
25,Intas Pharmaceuticals Ltd
26,Elder Pharmaceuticals Ltd
27,Galderma India Pvt Ltd
28,Bharat Serums & Vaccines Ltd
29,Medley Pharmaceuticals
30,Lekar Pharma Ltd
31,Apex Laboratories Pvt Ltd
32,Bayer Pharmaceuticals Pvt Ltd
33,Macleods Pharmaceuticals Pvt Ltd
34,Tablets India Limited
35,Biochem Pharmaceutical Industries
36,Harson Laboratories
37,Rusan Pharma Ltd
38,Eris Lifesciences Ltd
39,Care Formulation Labs Pvt Ltd
40,Indoco Remedies Ltd
41,Novo Nordisk India Pvt Ltd
42,DKT India Ltd
43,Unimarck Pharma India Ltd
44,Cachet Pharmaceuticals Pvt Ltd
45,Veritaz Healthcare Ltd
46,Emcure Pharmaceuticals Ltd
47,Mac Millon Pharmaceuticals Pvt Ltd
48,Ipca Laboratories Ltd
49,Ajanta Pharma Ltd
50,Morepen Laboratories Ltd
51,Akumentis Healthcare Ltd
52,Leeford Healthcare Ltd
53,Alteus Biogenics Pvt Ltd
54,Synchem Lab
55,Oaknet Healthcare Pvt Ltd
56,Natco Pharma Ltd
57,Zuventus Healthcare Ltd
58,Health N U Therapeutics Pvt Ltd
59,Curatio Healthcare India Pvt Ltd
60,Reliance Life Sciences
61,Ind Swift Laboratories Ltd
62,Blue Cross Laboratories Ltd
63,Ergos Life Sciences
64,Medsol India Overseas Pvt Ltd
65,Shine Pharmaceuticals Ltd
66,AstraZeneca
67,Panacea Biotec Ltd
68,Group Pharmaceuticals Ltd
69,Eisai Pharmaceuticals India Pvt Ltd
70,Alcon Laboratories
71,Tas Med India Pvt Ltd
72,Life Sciences Inc
73,Corona Remedies Pvt Ltd
74,Albert David Ltd
75,Mano Pharma Pvt Ltd
76,Bevit Pharmaceuticals Ltd
77,Ordain Health Care Global Pvt Ltd
78,FDC Ltd
79,Wanbury Ltd
80,Serum Institute Of India Ltd
81,Allergan India Pvt Ltd
82,Nestor Pharmaceuticals
83,KC Laboratories
84,Novartis India Ltd
85,Steadfast Medishield Pvt Ltd
86,Unison Pharmaceuticals Pvt Ltd
87,Boehringer Ingelheim
88,Tridoss Laboratories Pvt Ltd
89,Overseas Healthcare Pvt Ltd
90,Pharmatak Opthalmics Pvt Ltd
91,His Eyeness Ophthalmics Pvt Ltd
92,Franco-Indian Pharmaceuticals Pvt Ltd
93,Torque Pharmaceuticals Pvt Ltd
94,Prism Life Sciences Ltd
95,Icon Life Sciences
96,Gujarat Terce Laboratories Ltd
97,Wockhardt Ltd
98,Mohrish Pharmaceuticals
99,Obsurge Biotech Ltd
100,Surya Pharmaceutical Ltd
101,Acme Generics LLP
102,A. Menarini India Pvt Ltd
103,Densa Pharmaceuticals Pvt Ltd
104,Neon Laboratories Ltd
105,Wallace Pharmaceuticals Pvt Ltd
106,Parasol Laboratories
107,Atharv Healthcare
108,Sunways India Pvt Ltd
109,La Renon Healthcare Pvt Ltd
110,Renauxe Pharma India Pvt Ltd
111,Centaur Pharmaceuticals Pvt Ltd
112,Indchemie Health Specialities Pvt Ltd
113,Alniche Life Sciences Pvt Ltd
114,Roche Products India Pvt Ltd
115,Achemic
116,Pulse Pharmaceuticals
117,Elixir Life Care Pvt Ltd
118,Laborate Pharmaceuticals India Ltd
119,Salud Care India Pvt Ltd
120,Themis Medicare Ltd
121,Mylan Pharmaceuticals Pvt Ltd
122,Fulford India Ltd
123,Emcee Pharmaceuticals Pvt Ltd
124,Foregen Healthcare Ltd
125,Navil Laboratories Pvt Ltd
126,Bennet Pharmaceuticals Limited
127,Cista Medicorp
128,Bini Laboratories Pvt Ltd
129,Khandelwal Laboratories Pvt Ltd
130,Zeelab Pharmacy Pvt Ltd
131,Bliss Gvs Pharma Limited
132,Fresenius Kabi India Pvt Ltd
133,Nithyasha Healthcare Pvt Ltd
134,Allenge India
135,Wewell Biotech Pvt Ltd
136,Uniza Healthcare LLP
137,Bayberry Pharmaceuticals Pvt Ltd
138,Kare Health Specialities Pvt Ltd
139,German Remedies
140,Pharmed Ltd
141,Besins Healthcare India Pvt Ltd
142,Zydus Healthcare Limited
143,Hetero Drugs Ltd
144,Diamond Drugs Pvt Ltd
145,NuLife Pharmaceuticals
146,Safe Life Care
147,Unimac Pharmaceuticals Pvt Ltd
148,Quepreon Biologicals Pvt Ltd
149,AN Pharmaceuticals Pvt Ltd
150,Waterley Pharmaceuticals Pvt Ltd
151,Sanatra Health Care
152,Medimax Pharma
153,Koye Pharmaceuticals Pvt ltd
154,Psychotropics India Ltd
155,Organon (India) Ltd
156,Arinna Lifescience Pvt Ltd
157,Atopic Laboratories
158,Maneesh Pharmaceuticals Ltd
159,Talent India
160,Iscon Life Sciences
161,Blisson Mediplus Pvt Ltd
162,Jackson Laboratories Pvt Ltd
163,Pharma Drugs & Chemicals
164,Aureate Healthcare Pvt Ltd
165,Amore Health Essentials Pvt Ltd
166,Shreya Life Sciences Pvt Ltd
167,Hegde and Hegde Pharmaceutical LLP
168,Maxis Healthcare
169,Dabur India Ltd
170,Nexkem Pharmaceuticals Pvt Ltd
171,Aareen Healthcare Pvt Ltd
172,Avis Lifecare Pvt Ltd
173,Leben Life Sciences Pvt Ltd
174,Lincoln Pharmaceuticals Ltd
175,Indian Immunologicals Ltd
176,Orchid Chemicals & Pharmaceuticals Ltd
177,Alto Healthcare Pvt. Ltd.
178,Indiabulls pharmaceutical ltd
179,Akme Biotec
180,Zen Labs India
181,Bajaj Pharmaceutical
182,Prem Pharmaceuticals Pvt Ltd
183,Accilex Diacardo
184,Rhine Biogenics Pvt Ltd
185,Inga Laboratories Pvt Ltd
186,Exmo Biogenics Pvt. Ltd.
187,Modi Mundi Pharma Pvt Ltd
188,S H Pharmaceuticals Ltd
189,Profic Organic Ltd
190,Fusion Healthcare Pvt Ltd
191,Canixa Life Sciences Pvt
192,Aronex Life Sciences Pvt Ltd
193,Snu Biocare
194,Alpic Biotech Ltd
195,Ethicare Pharma
196,Growmax Medicare Pvt Ltd
197,Isis Healthcare Pvt Ltd
198,Sigmund Promedica
199,Mahendra Labs Private Limited
200,Bion Therapeutics India Pvt Ltd
201,Amwill Healthcare
202,Jawa Pharmaceuticals Pvt Ltd
203,Alpa Laboratories Ltd
204,Pharmagic Lifesciences
205,Sparsh Remedies Pvt Ltd
206,Menidine Pharmaceuticals
207,Entod Pharmaceuticals Ltd
208,Nextgen Healthcare
209,Anglo-French Drugs & Industries Ltd
210,Ferring Pharmaceuticals
211,Curewell Drugs and Pharmaceuticals Pvt Ltd
212,Nemi Pharmaceuticles
213,Bal Pharma Ltd
214,Astrum Healthcare Pvt Ltd
215,Brinton Pharmaceuticals Pvt Ltd
216,Hicare Pharma
217,Vhb Life Sciences Inc
218,Lark Laboratories Ltd
219,Biocon
220,Auskincare Formulation Pvt Ltd
221,Empiai Pharmaceuticals Pvt Ltd
222,SBS Biosciences
223,Baksun Healthcare Pvt Ltd
224,Dermo Care Laboratories
225,Mark India
226,Injecto Capta Pvt Ltd
227,Austro Labs
228,Systemic Healthcare
229,Wynclark Pharmaceuticals Private Limited
230,Med Manor Organics Pvt Ltd
231,Alliaance Biotech
232,Sunrest Life Science
233,Raymed Pharmaceuticals Ltd
234,Awakesoul Pharmaceutical Pvt Ltd
235,Eisen Pharmaceutical Co Pvt Ltd
236,Ortin Laboratories Ltd
237,Kivi Labs Ltd
238,Biokindle Lifesciences Pvt Ltd
239,ZDL(Zodiacal) Pharmaceutics Pvt.Ltd
240,Synokem Pharmaceuticals Ltd
241,Walter Bushnell
242,Jenburkt Pharmaceuticals Ltd
243,Oyster Labs Ltd
244,Troikaa Pharmaceuticals Ltd
245,Linux Laboratories
246,Fourrts India Laboratories Pvt Ltd
247,Austrazen Bio Pharmaceuticals Pvt Ltd
248,MSN Laboratories
249,Hindustan Syringes & Medical Devices Ltd
250,Caplet India Pvt Ltd
251,Aurum Life Science Pvt Ltd
252,Kumayun Drugs Pvt Ltd
253,Eurocare
254,Aprica Pharmaceuticals Pvt Ltd
255,Blubell Pharma
256,Avel Life Sciences
257,Azkka Pharmaceuticals Pvt Ltd
258,Biomiicron Pharmaceuticals
259,Smart Laboratories Pvt Ltd
260,Dr. Johns Laboratories Pvt Ltd
261,Matrixx Formulation
262,Galpha Laboratories Ltd
263,Sycon Healthcare Pvt Ltd
264,Gladstone Pharma India Pvt Ltd
265,Trends Pharma Pvt Ltd
266,Wafture Healthcare Pvt Ltd
267,United Biotech Pvt Ltd
268,Schon Pharmaceuticals Ltd
269,Theogen Pvt Ltd
270,West-Coast Pharmaceutical Works Ltd
271,Raptakos Brett & Co Ltd
272,Unicure Remedies Pvt Ltd
273,Adonis Laboratories Pvt Ltd
274,Alester Pharma Pvt Ltd
275,Geno Pharmaceuticals Ltd
276,Hallmark Chemicals
277,Ultimate Healthcare
278,Asterisk Laboratories India Pvt Ltd
279,Srigan Anatto Care Pvt Ltd
280,Serve Pharmaceuticals
281,Unimarck Healthcare Ltd
282,kalal & Saiyed Pharma Pvt Ltd
283,Rely on Pharmaceuticals
284,Eskon Pharma
285,Agn Healthcare
286,Codon Pharma Private Limited
287,Zee Laboratories
288,Regaliz India Ltd
289,Velite Pharmaceuticals
290,Aerochem Neutron
291,Divine Savior Pvt Ltd
292,Rockmed Pharma Pvt. Ltd.
293,Novelty Healthshine Pvt Ltd
294,Afive Pharma
295,Proton Remedies Pvt Ltd
296,Aurolab
297,Knoll Pharmaceuticals Ltd
298,Regalia Pharmaceuticals (I) Pvt Ltd
299,Emami Frank Ross Ltd
300,Seagull Pharmaceutical Pvt Ltd
301,Corpus Lifesciences Pvt Ltd
302,Intra Life
303,Olympus Life Sciences
