brand_id,brand_name,generic_id,manufacturer_id,dosage_form,primary_strength,pack_size,pack_unit,price_inr,is_discontinued
1,Augmentin 625 Duo Tablet,1,1,tablet,500mg,10.0,strip,223.42,False
2,Azithral 500 Tablet,2,2,tablet,500mg,5.0,strip,132.36,False
3,Ascoril LS Syrup,3,3,syrup,30mg/5ml,100.0,bottle,118.0,False
4,Ascoril LS Syrup,49,3,syrup,30mg/5ml,100.0,bottle,118.0,False
5,Ascoril LS Syrup,73,3,syrup,30mg/5ml,100.0,bottle,118.0,False
6,Ascoril LS Syrup,743,3,syrup,30mg/5ml,100.0,bottle,118.0,False
7,Allegra 120mg Tablet,4,4,tablet,120mg,10.0,strip,218.81,False
8,Avil 25 Tablet,5,4,tablet,25mg,15.0,strip,10.96,False
9,Allegra-M Tablet,6,4,tablet,10mg,10.0,strip,241.48,False
10,Allegra-M Tablet,521,4,tablet,10mg,10.0,strip,241.48,False
11,Amoxyclav 625 Tablet,1,5,tablet,500mg,10.0,strip,223.27,False
12,Azee 500 Tablet,2,6,tablet,500mg,5.0,strip,132.38,False
13,Atarax 25mg Tablet,7,7,tablet,25mg,15.0,strip,85.5,False
14,Ascoril D Plus Syrup Sugar Free,8,3,syrup,5mg,100.0,bottle,129.0,False
15,Ascoril D Plus Syrup Sugar Free,10,3,syrup,5mg,100.0,bottle,129.0,False
16,Ascoril D Plus Syrup Sugar Free,301,3,syrup,5mg,100.0,bottle,129.0,False
17,Ascoril D Plus Syrup Sugar Free,1251,3,syrup,5mg,100.0,bottle,129.0,False
18,Ascoril D Plus Syrup Sugar Free,1508,3,syrup,5mg,100.0,bottle,129.0,False
19,Aciloc 150 Tablet,9,8,tablet,150mg,30.0,strip,40.94,False
20,Alex Syrup,8,3,syrup,5mg/5ml,100.0,bottle,129.0,False
21,Alex Syrup,10,3,syrup,5mg/5ml,100.0,bottle,129.0,False
22,Alex Syrup,301,3,syrup,5mg/5ml,100.0,bottle,129.0,False
23,Alex Syrup,1251,3,syrup,5mg/5ml,100.0,bottle,129.0,False
24,Alex Syrup,1508,3,syrup,5mg/5ml,100.0,bottle,129.0,False
31,Ambrodil-S Syrup,3,10,syrup,15mg/5ml,100.0,bottle,30.2,False
32,Ambrodil-S Syrup,49,10,syrup,15mg/5ml,100.0,bottle,30.2,False
33,Ambrodil-S Syrup,73,10,syrup,15mg/5ml,100.0,bottle,30.2,False
34,Ambrodil-S Syrup,743,10,syrup,15mg/5ml,100.0,bottle,30.2,False
35,Arkamin Tablet,11,11,tablet,,30.0,strip,72.65,False
36,Arkamin Tablet,193,11,tablet,,30.0,strip,72.65,False
37,Avomine Tablet,12,5,tablet,25mg,10.0,strip,55.98,False
38,Asthakind-DX Syrup Sugar Free,8,12,syrup,5mg/5ml,60.0,bottle,70.4,False
39,Asthakind-DX Syrup Sugar Free,10,12,syrup,5mg/5ml,60.0,bottle,70.4,False
40,Asthakind-DX Syrup Sugar Free,301,12,syrup,5mg/5ml,60.0,bottle,70.4,False
41,Asthakind-DX Syrup Sugar Free,1251,12,syrup,5mg/5ml,60.0,bottle,70.4,False
42,Asthakind-DX Syrup Sugar Free,1508,12,syrup,5mg/5ml,60.0,bottle,70.4,False
43,Allegra 180mg Tablet,4,4,tablet,180mg,10.0,strip,251.2,False
44,Albendazole 400mg Tablet,13,8,tablet,400mg,1.0,strip,9.58,False
45,Asthalin Syrup,14,6,syrup,2mg/5ml,100.0,bottle,19.04,False
46,Asthalin Syrup,497,6,syrup,2mg/5ml,100.0,bottle,19.04,False
47,Asthalin Syrup,1172,6,syrup,2mg/5ml,100.0,bottle,19.04,False
48,Alprax 0.25 Tablet,15,11,tablet,0.25mg,15.0,strip,29.0,False
49,Alprax 0.25 Tablet,150,11,tablet,0.25mg,15.0,strip,29.0,False
50,Alprax 0.25 Tablet,1561,11,tablet,0.25mg,15.0,strip,29.0,False
51,Alprax 0.25 Tablet,1624,11,tablet,0.25mg,15.0,strip,29.0,False
52,Altraday Capsule SR,16,13,capsule,200mg,10.0,strip,128.0,False
53,Altraday Capsule SR,23,13,capsule,200mg,10.0,strip,128.0,False
54,Ativan 2mg Tablet,17,14,tablet,2mg,30.0,strip,91.87,False
55,Ascoril LS Junior Syrup,3,3,syrup,15mg/5ml,60.0,bottle,96.0,False
56,Ascoril LS Junior Syrup,49,3,syrup,15mg/5ml,60.0,bottle,96.0,False
57,Ascoril LS Junior Syrup,73,3,syrup,15mg/5ml,60.0,bottle,96.0,False
58,Ascoril LS Junior Syrup,743,3,syrup,15mg/5ml,60.0,bottle,96.0,False
62,Almox 500 Capsule,1,15,capsule,500mg,10.0,strip,80.26,False
63,Atarax 10mg Tablet,7,7,tablet,10mg,15.0,strip,47.91,False
64,Aciloc RD 20 Tablet,18,8,tablet,10mg,15.0,strip,77.0,False
65,Aciloc RD 20 Tablet,302,8,tablet,10mg,15.0,strip,77.0,False
66,Aciloc RD 20 Tablet,558,8,tablet,10mg,15.0,strip,77.0,False
67,Aldactone Tablet,19,16,tablet,25mg,15.0,strip,35.35,False
70,Amlokind-AT Tablet,20,12,tablet,5mg,15.0,strip,44.7,False
71,Axcer  90mg Tablet,21,13,tablet,90mg,14.0,strip,420.0,False
72,Ativan 1mg Tablet,17,14,tablet,1mg,30.0,strip,75.67,False
74,Aldigesic P 100mg/325mg Tablet,16,15,tablet,100mg,15.0,strip,110.0,False
75,Aldigesic P 100mg/325mg Tablet,23,15,tablet,100mg,15.0,strip,110.0,False
76,Alfoo 10mg Tablet PR,24,7,tablet,10mg,30.0,strip,687.75,False
77,Alprax 0.5mg Tablet,15,11,tablet,0.5mg,15.0,strip,66.9,False
78,Alprax 0.5mg Tablet,150,11,tablet,0.5mg,15.0,strip,66.9,False
79,Alprax 0.5mg Tablet,1561,11,tablet,0.5mg,15.0,strip,66.9,False
80,Alprax 0.5mg Tablet,1624,11,tablet,0.5mg,15.0,strip,66.9,False
81,Arachitol 6L Injection,25,5,injection,,,,407.76,False
82,Anafortan 25 mg/300 mg Tablet,26,5,tablet,25mg,15.0,strip,124.56,False
83,Anafortan 25 mg/300 mg Tablet,160,5,tablet,25mg,15.0,strip,124.56,False
84,Alex Junior Syrup,27,3,syrup,2mg/5ml,60.0,bottle,95.0,False
86,AB Phylline Capsule,28,13,capsule,100mg,10.0,strip,162.0,False
87,AB Phylline Capsule,1297,13,capsule,100mg,10.0,strip,162.0,False
88,AB Phylline Capsule,1553,13,capsule,100mg,10.0,strip,162.0,False
89,Althrocin 500 Tablet,29,2,tablet,500mg,10.0,strip,110.3,False
91,Azicip 500 Tablet,2,6,tablet,500mg,3.0,strip,79.43,False
92,Aldigesic-SP Tablet,16,15,tablet,100mg,10.0,strip,120.0,False
93,Aldigesic-SP Tablet,23,15,tablet,100mg,10.0,strip,120.0,False
98,Acemiz Plus Tablet,16,19,tablet,100mg,10.0,strip,99.5,False
99,Acemiz Plus Tablet,23,19,tablet,100mg,10.0,strip,99.5,False
100,Aceclo Plus Tablet,16,10,tablet,100mg,15.0,strip,90.85,False
101,Aceclo Plus Tablet,23,10,tablet,100mg,15.0,strip,90.85,False
109,Avil Injection,5,4,injection,22.75mg,10.0,ml,21.17,False
111,Atorva Tablet,33,21,tablet,10mg,15.0,strip,102.31,False
112,Atorva Tablet,1502,21,tablet,10mg,15.0,strip,102.31,False
113,Atorva Tablet,1755,21,tablet,10mg,15.0,strip,102.31,False
118,Ascoril LS Drops,3,3,drops,7.5mg/ml,15.0,bottle,72.0,False
119,Ascoril LS Drops,49,3,drops,7.5mg/ml,15.0,bottle,72.0,False
120,Ascoril LS Drops,73,3,drops,7.5mg/ml,15.0,bottle,72.0,False
121,Ascoril LS Drops,743,3,drops,7.5mg/ml,15.0,bottle,72.0,False
122,Azmarda 50mg Tablet,34,22,tablet,24mg,14.0,strip,1092.03,False
123,Amixide-H Tablet,35,13,tablet,12.5mg,10.0,strip,51.0,False
124,Amixide-H Tablet,136,13,tablet,12.5mg,10.0,strip,51.0,False
125,AB-Flo-N Tablet,28,19,tablet,100mg,10.0,strip,207.25,False
126,AB-Flo-N Tablet,1297,19,tablet,100mg,10.0,strip,207.25,False
127,AB-Flo-N Tablet,1553,19,tablet,100mg,10.0,strip,207.25,False
128,AF Kit Tablet,2,23,tablet,1000mg,4.0,strip,110.0,False
129,Amlokind 5 Tablet,20,12,tablet,5mg,15.0,strip,22.15,False
130,Amlong Tablet,20,24,tablet,5mg,15.0,strip,48.55,False
132,Ascoril D Junior Cough Syrup,8,3,syrup,5mg/5ml,60.0,bottle,98.0,False
133,Ascoril D Junior Cough Syrup,10,3,syrup,5mg/5ml,60.0,bottle,98.0,False
134,Ascoril D Junior Cough Syrup,301,3,syrup,5mg/5ml,60.0,bottle,98.0,False
135,Ascoril D Junior Cough Syrup,1251,3,syrup,5mg/5ml,60.0,bottle,98.0,False
136,Ascoril D Junior Cough Syrup,1508,3,syrup,5mg/5ml,60.0,bottle,98.0,False
137,Amitone 10mg Tablet,35,25,tablet,10mg,10.0,strip,19.15,False
138,Amitone 10mg Tablet,136,25,tablet,10mg,10.0,strip,19.15,False
139,Aulin 100mg Tablet,37,26,tablet,100mg,10.0,strip,50.56,False
140,Aulin 100mg Tablet,686,26,tablet,100mg,10.0,strip,50.56,False
142,Ambrodil-LX Syrup,3,10,syrup,30mg/5ml,100.0,bottle,90.85,False
143,Ambrodil-LX Syrup,49,10,syrup,30mg/5ml,100.0,bottle,90.85,False
144,Ambrodil-LX Syrup,73,10,syrup,30mg/5ml,100.0,bottle,90.85,False
145,Ambrodil-LX Syrup,743,10,syrup,30mg/5ml,100.0,bottle,90.85,False
146,Aquasol A Capsule,39,9,capsule,,30.0,units,29.6,False
147,AB Phylline SR 200 Tablet,28,13,tablet,200mg,10.0,strip,252.0,False
148,AB Phylline SR 200 Tablet,1297,13,tablet,200mg,10.0,strip,252.0,False
149,AB Phylline SR 200 Tablet,1553,13,tablet,200mg,10.0,strip,252.0,False
151,Amaryl 1mg Tablet,41,4,tablet,1mg,30.0,strip,133.81,False
152,Aztor 10 Tablet,33,13,tablet,10mg,15.0,strip,102.25,False
153,Aztor 10 Tablet,1502,13,tablet,10mg,15.0,strip,102.25,False
154,Aztor 10 Tablet,1755,13,tablet,10mg,15.0,strip,102.25,False
155,Atorva 40 Tablet,33,21,tablet,40mg,10.0,strip,239.89,False
156,Atorva 40 Tablet,1502,21,tablet,40mg,10.0,strip,239.89,False
157,Atorva 40 Tablet,1755,21,tablet,40mg,10.0,strip,239.89,False
158,Azax 500 Tablet,2,13,tablet,500mg,3.0,strip,79.3,False
159,Alex Syrup Sugar Free,8,3,syrup,5mg/5ml,100.0,bottle,129.0,False
160,Alex Syrup Sugar Free,10,3,syrup,5mg/5ml,100.0,bottle,129.0,False
161,Alex Syrup Sugar Free,301,3,syrup,5mg/5ml,100.0,bottle,129.0,False
162,Alex Syrup Sugar Free,1251,3,syrup,5mg/5ml,100.0,bottle,129.0,False
163,Alex Syrup Sugar Free,1508,3,syrup,5mg/5ml,100.0,bottle,129.0,False
164,Anxit 0.5 Tablet,15,24,tablet,0.5mg,15.0,strip,47.0,False
165,Anxit 0.5 Tablet,150,24,tablet,0.5mg,15.0,strip,47.0,False
166,Anxit 0.5 Tablet,1561,24,tablet,0.5mg,15.0,strip,47.0,False
167,Anxit 0.5 Tablet,1624,24,tablet,0.5mg,15.0,strip,47.0,False
168,Anxit 0.25mg Tablet,15,24,tablet,0.25mg,15.0,strip,20.5,False
169,Anxit 0.25mg Tablet,150,24,tablet,0.25mg,15.0,strip,20.5,False
170,Anxit 0.25mg Tablet,1561,24,tablet,0.25mg,15.0,strip,20.5,False
171,Anxit 0.25mg Tablet,1624,24,tablet,0.25mg,15.0,strip,20.5,False
172,Acitrom 2 Tablet,42,5,tablet,2mg,30.0,strip,414.65,False
173,Angispan - TR 2.5mg Capsule,43,9,capsule,2.5mg,25.0,units,198.0,False
175,Acemiz -MR Tablet,16,19,tablet,100mg,10.0,strip,99.5,False
176,Acemiz -MR Tablet,23,19,tablet,100mg,10.0,strip,99.5,False
177,Akurit 4 Tablet,36,19,tablet,75mg,10.0,strip,82.6,False
181,Acivir 400 DT Tablet,47,6,tablet,400mg,5.0,strip,76.55,False
182,Aptimust Syrup,48,12,syrup,2mg/5ml,200.0,bottle,129.9,False
183,Augmentin 1000 Duo Tablet,1,1,tablet,875mg,10.0,strip,601.45,False
184,Ambrodil Syrup,3,10,syrup,30mg/5ml,100.0,bottle,69.75,False
185,Ambrodil Syrup,49,10,syrup,30mg/5ml,100.0,bottle,69.75,False
186,Ambrodil Syrup,73,10,syrup,30mg/5ml,100.0,bottle,69.75,False
187,Ambrodil Syrup,743,10,syrup,30mg/5ml,100.0,bottle,69.75,False
188,Acogut Tablet,50,19,tablet,100mg,15.0,strip,239.4,False
189,Atarax Drops,7,7,syrup,6mg,15.0,bottle,69.75,False
190,Amlip 5 Tablet,20,6,tablet,5mg,10.0,strip,32.36,False
191,AntiD 300mcg/ml Injection,51,28,injection,,,,3039.42,False
192,Alerid Syrup,52,6,syrup,5mg/5ml,30.0,bottle,21.84,False
193,Aldactone 50 Tablet,19,16,tablet,50mg,15.0,strip,70.6,False
194,Ampoxin 500 Capsule,53,11,capsule,250mg,15.0,strip,88.9,False
196,Alerid Tablet,52,6,tablet,10mg,10.0,strip,20.48,False
