generic_id,generic_name,therapeutic_class,prescription_required,cold_storage_required,gst_percentage
1,Amoxycillin,antibiotic,True,False,12
2,Azithromycin,antibiotic,True,False,12
3,Ambroxol,bronchodilator,False,False,5
4,Fexofenadine,antihistamine,False,False,5
5,Pheniramine,other,False,False,5
6,Montelukast,antihistamine,False,False,5
7,Hydroxyzine,other,False,False,5
8,Phenylephrine,antihistamine,False,False,5
9,Ranitidine,antacid,False,False,5
10,Phenylephrine,corticosteroid,True,False,12
11,Clonidine,other,False,False,5
12,Promethazine,other,False,False,5
13,Albendazole,other,False,False,5
14,Salbutamol,bronchodilator,False,False,5
15,Alprazolam,other,False,False,5
16,Aceclofenac,antacid,False,False,5
17,Lorazepam,other,False,False,5
18,Domperidone,antacid,False,False,5
19,Spironolactone,diuretic,False,False,5
20,Amlodipine,antihypertensive,False,False,5
21,Ticagrelor,other,False,False,5
22,Disodium Hydrogen Citrate,other,False,False,5
23,Aceclofenac,analgesic,False,False,5
24,Alfuzosin,other,False,False,5
25,Vitamin D3,other,False,False,5
26,Camylofin,analgesic,False,False,5
27,Chlorpheniramine Maleate,antihistamine,False,False,5
28,Acebrophylline,other,False,False,5
29,Erythromycin,other,False,False,5
30,Guaifenesin,bronchodilator,False,False,5
31,Lidocaine,other,False,False,5
33,Atorvastatin,other,False,False,5
34,Sacubitril,other,False,False,5
35,Amitriptyline,antidepressant,False,False,5
36,Isoniazid,other,False,False,5
37,Nimesulide,analgesic,False,False,5
38,Amikacin,other,False,False,5
39,Vitamin A,other,False,False,5
40,Azathioprine,other,False,False,5
41,Glimepiride,antidiabetic,True,False,12
42,Acenocoumarol,other,False,False,5
43,Nitroglycerin,other,False,False,5
45,Levosalbutamol,corticosteroid,True,False,12
47,Acyclovir,other,False,False,5
48,Cyproheptadine,other,False,False,5
49,Ambroxol,other,False,False,5
50,Acotiamide,other,False,False,5
51,Anti Rh D Immunoglobulin,other,False,False,5
52,Cetirizine,antihistamine,False,False,5
53,Ampicillin,other,False,False,5
54,Furosemide,diuretic,False,False,5
57,Memantine,other,False,False,5
58,Empagliflozin,antidiabetic,True,False,12
59,Avanafil,other,False,False,5
60,Paracetamol,analgesic,False,False,5
61,Hydrochlorothiazide,diuretic,False,False,5
62,Diosmin,other,False,False,5
63,Fluconazole,other,False,False,5
64,Amantadine,other,False,False,5
65,Thiocolchicoside,analgesic,False,False,5
66,Adrenaline,other,False,False,5
67,Paracetamol/Acetaminophen,analgesic,False,False,5
68,Bromhexine,other,False,False,5
71,Camphor,other,False,False,5
72,Oseltamivir Phosphate,other,False,False,5
73,Ambroxol,antihistamine,False,False,5
75,Atropine,other,False,False,5
76,Testosterone,other,False,False,5
77,Sildenafil,other,False,False,5
79,Atenolol,antihypertensive,False,False,5
80,Mifepristone,other,False,False,5
81,Apremilast,other,False,False,5
82,Insulin Glulisine,other,False,True,18
83,Telmisartan,antihypertensive,False,False,5
84,Loperamide,other,False,False,5
85,S-Amlodipine,antihypertensive,False,False,5
86,Guaifenesin,other,False,False,5
87,Sitagliptin,antidiabetic,True,False,12
88,Methylcobalamin,other,False,False,5
89,Ofloxacin,other,False,False,5
90,Clindamycin,other,False,False,5
91,Aripiprazole,other,False,False,5
92,Loteprednol etabonate,other,False,False,5
93,Melatonin,other,False,False,5
94,Levocetirizine,antihistamine,False,False,5
95,Carboxymethylcellulose,other,False,False,5
96,Cilnidipine,other,False,False,5
98,Apixaban,other,False,False,5
99,Bilastine,other,False,False,5
100,Acamprosate,other,False,False,5
101,Aluminium Hydroxide,other,False,False,5
102,Moxifloxacin,corticosteroid,True,False,12
105,Albumin,other,False,False,5
106,Caffeine,analgesic,False,False,5
107,Choline fenofibrate,other,False,False,5
108,Moxifloxacin,other,False,False,5
109,Ursodeoxycholic Acid,other,False,False,5
110,Glycopyrrolate,other,False,False,5
112,Methylphenidate,other,False,False,5
113,Ivermectin,other,False,False,5
114,Alendronic Acid,other,False,False,5
115,Anastrozole,other,False,False,5
116,Donepezil,other,False,False,5
117,Prochlorperazine,other,False,False,5
118,Ciprofloxacin,antibiotic,True,False,12
119,Drotaverine,analgesic,False,False,5
120,Alfacalcidol,other,False,False,5
122,Brinzolamide,other,False,False,5
123,Rifampicin,other,False,False,5
124,Dihydralazine,other,False,False,5
125,Calcium Carbonate,other,False,False,5
126,Standard Cobra Venom,other,False,False,5
127,Acitretin,other,False,False,5
128,Brimonidine,other,False,False,5
129,Isotretinoin,other,False,False,5
132,Aspirin,other,False,False,5
133,Sodium Chloride,other,False,False,5
135,Ketorolac,other,False,False,5
136,Amitriptyline,antacid,False,False,5
137,Metadoxine,other,False,False,5
139,Sodium Hyaluronate,other,False,False,5
140,Aprepitant,other,False,False,5
141,Ornidazole,other,False,False,5
142,Alpha Ketoanalogue,other,False,False,5
143,Diloxanide,other,False,False,5
144,Metformin,antidiabetic,True,False,12
145,Losartan,antihypertensive,False,False,5
146,Azilsartan medoxomil,other,False,False,5
147,Cefuroxime,other,False,False,5
148,Streptomycin,other,False,False,5
149,Etizolam,other,False,False,5
150,Alprazolam,antidepressant,False,False,5
151,Pregabalin,other,False,False,5
153,Flupenthixol,other,False,False,5
154,Hydrocortisone,other,False,False,5
155,Epalrestat,other,False,False,5
156,Itraconazole,other,False,False,5
158,Adenosine,other,False,False,5
159,Levofloxacin,other,False,False,5
160,Camylofin,other,False,False,5
161,Progesterone,other,False,False,5
162,Bupivacaine,other,False,False,5
163,Edaravone,other,False,False,5
164,Nepafenac,other,False,False,5
165,Dulaglutide,other,False,False,5
166,Rosuvastatin,other,False,False,5
168,Imipramine,other,False,False,5
169,Hydroxypropylmethylcellulose,other,False,False,5
170,Recombinant Human Erythropoietin Alfa,other,False,False,5
171,Carbimazole,other,False,False,5
173,Sodium Bicarbonate,other,False,False,5
174,Lidocaine,corticosteroid,True,False,12
175,Clonazepam,antidepressant,False,False,5
176,Levosalbutamol,bronchodilator,False,False,5
177,Alcaftadine,other,False,False,5
178,Dicyclomine,other,False,False,5
179,Clonazepam,other,False,False,5
180,Etofylline,bronchodilator,False,False,5
182,Torasemide,other,False,False,5
183,Cefixime,antibiotic,True,False,12
185,Alogliptin,other,False,False,5
186,Tranexamic Acid,other,False,False,5
187,Bevacizumab,other,False,False,5
188,Ciclosporin,other,False,False,5
189,L-Ornithine L-Aspartate,other,False,False,5
190,Pseudoephedrine,other,False,False,5
191,Aminophylline,other,False,False,5
192,Ambrisentan,other,False,False,5
193,Clonidine,diuretic,False,False,5
194,Azelastine,other,False,False,5
195,Diltiazem,other,False,False,5
196,Azelnidipine,other,False,False,5
197,Disulfiram,other,False,False,5
198,Teneligliptin,other,False,False,5
199,Gabapentin,other,False,False,5
200,Vitamin E,other,False,False,5
201,Agomelatine,other,False,False,5
202,Piroxicam,other,False,False,5
203,Loratadine,other,False,False,5
205,Aztreonam,other,False,False,5
206,Ondansetron,other,False,False,5
207,Pancreatin,other,False,False,5
208,Formoterol,other,False,False,5
209,Armodafinil,other,False,False,5
210,Benfotiamine,other,False,False,5
212,Polidocanol,other,False,False,5
214,Perampanel,other,False,False,5
215,Methyldopa,other,False,False,5
216,Silodosin,other,False,False,5
217,Potassium Chloride,other,False,False,5
219,Sevelamer,other,False,False,5
220,Drotaverine,other,False,False,5
222,Amisulpride,other,False,False,5
223,Naphazoline,antihistamine,False,False,5
224,Racecadotril,other,False,False,5
226,Allylestrenol,other,False,False,5
227,Isosorbide Dinitrate,other,False,False,5
228,Cadexomer Iodine,other,False,False,5
229,Acetic acid,other,False,False,5
230,Midodrine,other,False,False,5
231,Abiraterone Acetate,other,False,False,5
233,Doxorubicin,other,False,False,5
234,Romiplostim,other,False,False,5
235,Trypsin,other,False,False,5
236,Fenofibrate,other,False,False,5
