manufacturer_id,manufacturer_name
1,Glaxo SmithKline Pharmaceuticals Ltd
2,Alembic Pharmaceuticals Ltd
3,Glenmark Pharmaceuticals Ltd
4,Sanofi India Ltd
5,Abbott
6,Cipla Ltd
7,Dr Reddy's Laboratories Ltd
8,Cadila Pharmaceuticals Ltd
9,USV Ltd
10,Aristo Pharmaceuticals Pvt Ltd
11,Torrent Pharmaceuticals Ltd
12,Mankind Pharma Ltd
13,Sun Pharmaceutical Industries Ltd
14,Pfizer Ltd
15,Alkem Laboratories Ltd
16,RPG Life Sciences Ltd
17,Stadmed Pvt Ltd
18,Jagsonpal Pharmaceuticals Ltd
19,Lupin Ltd
20,Samarth Life Sciences Pvt Ltd
21,Zydus Cadila
22,J B Chemicals and Pharmaceuticals Ltd
23,Systopic Laboratories Pvt Ltd
24,Micro Labs Ltd
25,Intas Pharmaceuticals Ltd
26,Elder Pharmaceuticals Ltd
28,Bharat Serums & Vaccines Ltd
29,Medley Pharmaceuticals
31,Apex Laboratories Pvt Ltd
33,Macleods Pharmaceuticals Pvt Ltd
34,Tablets India Limited
35,Biochem Pharmaceutical Industries
38,Eris Lifesciences Ltd
39,Care Formulation Labs Pvt Ltd
40,Indoco Remedies Ltd
43,Unimarck Pharma India Ltd
44,Cachet Pharmaceuticals Pvt Ltd
45,Veritaz Healthcare Ltd
46,Emcure Pharmaceuticals Ltd
47,Mac Millon Pharmaceuticals Pvt Ltd
48,Ipca Laboratories Ltd
49,Ajanta Pharma Ltd
50,Morepen Laboratories Ltd
51,Akumentis Healthcare Ltd
52,Leeford Healthcare Ltd
53,Alteus Biogenics Pvt Ltd
54,Synchem Lab
55,Oaknet Healthcare Pvt Ltd
56,Natco Pharma Ltd
57,Zuventus Healthcare Ltd
61,Ind Swift Laboratories Ltd
62,Blue Cross Laboratories Ltd
63,Ergos Life Sciences
65,Shine Pharmaceuticals Ltd
66,AstraZeneca
67,Panacea Biotec Ltd
68,Group Pharmaceuticals Ltd
71,Tas Med India Pvt Ltd
73,Corona Remedies Pvt Ltd
74,Albert David Ltd
77,Ordain Health Care Global Pvt Ltd
78,FDC Ltd
79,Wanbury Ltd
80,Serum Institute Of India Ltd
83,KC Laboratories
84,Novartis India Ltd
86,Unison Pharmaceuticals Pvt Ltd
89,Overseas Healthcare Pvt Ltd
92,Franco-Indian Pharmaceuticals Pvt Ltd
93,Torque Pharmaceuticals Pvt Ltd
95,Icon Life Sciences
96,Gujarat Terce Laboratories Ltd
97,Wockhardt Ltd
99,Obsurge Biotech Ltd
104,Neon Laboratories Ltd
105,Wallace Pharmaceuticals Pvt Ltd
106,Parasol Laboratories
108,Sunways India Pvt Ltd
109,La Renon Healthcare Pvt Ltd
111,Centaur Pharmaceuticals Pvt Ltd
112,Indchemie Health Specialities Pvt Ltd
113,Alniche Life Sciences Pvt Ltd
116,Pulse Pharmaceuticals
117,Elixir Life Care Pvt Ltd
118,Laborate Pharmaceuticals India Ltd
119,Salud Care India Pvt Ltd
120,Themis Medicare Ltd
121,Mylan Pharmaceuticals Pvt Ltd
124,Foregen Healthcare Ltd
125,Navil Laboratories Pvt Ltd
126,Bennet Pharmaceuticals Limited
127,Cista Medicorp
129,Khandelwal Laboratories Pvt Ltd
130,Zeelab Pharmacy Pvt Ltd
132,Fresenius Kabi India Pvt Ltd
134,Allenge India
136,Uniza Healthcare LLP
137,Bayberry Pharmaceuticals Pvt Ltd
139,German Remedies
140,Pharmed Ltd
142,Zydus Healthcare Limited
143,Hetero Drugs Ltd
145,NuLife Pharmaceuticals
146,Safe Life Care
149,AN Pharmaceuticals Pvt Ltd
152,Medimax Pharma
153,Koye Pharmaceuticals Pvt ltd
154,Psychotropics India Ltd
156,Arinna Lifescience Pvt Ltd
158,Maneesh Pharmaceuticals Ltd
159,Talent India
160,Iscon Life Sciences
163,Pharma Drugs & Chemicals
166,Shreya Life Sciences Pvt Ltd
167,Hegde and Hegde Pharmaceutical LLP
170,Nexkem Pharmaceuticals Pvt Ltd
171,Aareen Healthcare Pvt Ltd
172,Avis Lifecare Pvt Ltd
173,Leben Life Sciences Pvt Ltd
174,Lincoln Pharmaceuticals Ltd
176,Orchid Chemicals & Pharmaceuticals Ltd
178,Indiabulls pharmaceutical ltd
179,Akme Biotec
181,Bajaj Pharmaceutical
184,Rhine Biogenics Pvt Ltd
185,Inga Laboratories Pvt Ltd
187,Modi Mundi Pharma Pvt Ltd
188,S H Pharmaceuticals Ltd
189,Profic Organic Ltd
190,Fusion Healthcare Pvt Ltd
191,Canixa Life Sciences Pvt
192,Aronex Life Sciences Pvt Ltd
193,Snu Biocare
194,Alpic Biotech Ltd
196,Growmax Medicare Pvt Ltd
197,Isis Healthcare Pvt Ltd
198,Sigmund Promedica
202,Jawa Pharmaceuticals Pvt Ltd
203,Alpa Laboratories Ltd
207,Entod Pharmaceuticals Ltd
209,Anglo-French Drugs & Industries Ltd
212,Nemi Pharmaceuticles
213,Bal Pharma Ltd
215,Brinton Pharmaceuticals Pvt Ltd
217,Vhb Life Sciences Inc
218,Lark Laboratories Ltd
219,Biocon
222,SBS Biosciences
227,Austro Labs
230,Med Manor Organics Pvt Ltd
232,Sunrest Life Science
233,Raymed Pharmaceuticals Ltd
236,Ortin Laboratories Ltd
237,Kivi Labs Ltd
240,Synokem Pharmaceuticals Ltd
242,Jenburkt Pharmaceuticals Ltd
243,Oyster Labs Ltd
244,Troikaa Pharmaceuticals Ltd
245,Linux Laboratories
246,Fourrts India Laboratories Pvt Ltd
248,MSN Laboratories
250,Caplet India Pvt Ltd
251,Aurum Life Science Pvt Ltd
254,Aprica Pharmaceuticals Pvt Ltd
255,Blubell Pharma
257,Azkka Pharmaceuticals Pvt Ltd
259,Smart Laboratories Pvt Ltd
260,Dr. Johns Laboratories Pvt Ltd
262,Galpha Laboratories Ltd
263,Sycon Healthcare Pvt Ltd
267,United Biotech Pvt Ltd
269,Theogen Pvt Ltd
270,West-Coast Pharmaceutical Works Ltd
273,Adonis Laboratories Pvt Ltd
274,Alester Pharma Pvt Ltd
275,Geno Pharmaceuticals Ltd
278,Asterisk Laboratories India Pvt Ltd
281,Unimarck Healthcare Ltd
287,Zee Laboratories
291,Divine Savior Pvt Ltd
294,Afive Pharma
297,Knoll Pharmaceuticals Ltd
300,Seagull Pharmaceutical Pvt Ltd
302,Intra Life
304,Synmedic Laboratories
308,BMW Pharmaco India Pvt. Ltd.
311,AAR ESS Remedies Pvt Ltd
312,Acron Pharmaceuticals
313,Medoz Pharmaceutical Pvt. Ltd
314,Celon Laboratories Ltd
318,Klar Sehen Pvt Ltd
320,Dycine Pharmaceuticals Ltd
321,Solvate Laboratries Pvt Ltd
322,PCI Pharmaceuticals
323,Marsha Pharma Pvt Ltd
324,East West Pharma
326,Chemo Healthcare Pvt Ltd
327,Uniphar Biotech Private Limited
333,MMC Healthcare Ltd
334,Biomax Laboratories
335,Sain Medicaments Pvt Ltd
336,Crescent Therapeutics Ltd
338,Affy Pharma Pvt Ltd
340,Kepler Health Care
341,Strides shasun Ltd
342,Medikem Pharmaceuticals
343,IGP Medventures Pvt Ltd
344,Olcare Laboratories
345,Mancare Labs Pvt Ltd
347,Alvio Pharma
349,Meridian Medicare Ltd
351,Algen Healthcare Limited
353,Lemford Biotech Pvt Ltd
355,Total Healthcare
356,Vrevive Medicure Pvt. Ltd.
357,Three Dots Lifescience
359,Viilbery Healthcare Pvt Ltd
360,D D Pharmaceuticals
364,Healing Pharma India Pvt Ltd
366,Druto Laboratories
367,Gold Line
368,Adley Formulations
371,Bioworld Pharma
373,Ikon Remedies Pvt Ltd
374,Admac Pharma Ltd
375,Intra Labs India Pvt Ltd
376,Signova Pharma Pvt Ltd
377,Pharma Planet India
379,Mascot Health Series Pvt Ltd
380,Symbiosis Lab
381,Mission Research Laboratories Pvt Ltd
384,Akesiss Pharma Pvt Ltd
385,La Pharmaceuticals
388,Haeal Pharma
390,Parenteral Drugs India Ltd
391,Green Cross Remedies
394,Innovative Pharmaceuticals
396,Atishya Biotech
398,Fawn Incorporation
399,Allied Chemicals & Pharmaceuticals Pvt Ltd
400,Solarium Pharmaceuticals
401,Biomax Biotechnics Pvt Ltd
403,Uni-Pex Pharmaceuticals Pvt Ltd
404,Kivonyx Healthcare
406,Medicross Pharmaceuticals
410,Sun Life Sciences Pvt Ltd
411,Embiotic Laboratories Pvt Ltd
413,Zenlabs Ethica Ltd
414,Juggat Pharma
416,Aurz Pharmaceuticals Pvt Ltd
417,Aishwarya Healthcare
421,Bharti Life Sciences
424,Psychocare Health Pvt Ltd
428,BestoChem Formulations India Ltd
432,Mediyork Pharma Pvt Ltd
433,Nectar Biopharma Pvt Limited
434,Aan Pharma Pvt Ltd
436,Primus Remedies Pvt Ltd
437,Alive Healthcare
440,Hamax Pharmaceuticals
441,Excare Laboratories
442,Divine Lifecare Pvt Ltd
449,Kopran Ltd
450,Ozone Pharmaceuticals Ltd
453,Chethana Pharmaceuticals
454,Alna Biotech Pvt Ltd
455,Vibcare Pharma Pvt Ltd
456,Oxford Pharmaceuticals Pvt Ltd
457,Nukind Healthcare Pvt Ltd
461,Dew Drops Lab
462,Votary Laboratories I Ltd
463,Finecure Pharmaceuticals Ltd.
464,Lezaa Biotech
465,Daksh Pharma Pvt Ltd
468,Plenteous Pharmaceuticals Ltd
469,Biophar Lifesciences Pvt Ltd
470,Prevego Healthcare & Research Private Limited
474,Lexus Organics
475,Cure Tech Skincare
477,Healthkind Labs Pvt Ltd
478,Alde Medi Impex Ltd
480,Ardent Life Sciences Pvt Ltd
481,Pharmatech Healthcare
482,Astra Labs
483,Orris Pharmaceuticals
484,Cascade India Pharmaceuticals
485,Nilrise Pharmaceuticals Pvt Ltd
488,Concept Pharmaceuticals Ltd
489,Ambit Bio Medix
490,Pinarc Life Sciences
491,Life Medicare & Biotech Pvt Ltd
493,Wings Biotech Ltd
494,Syndicate Life Sciences Pvt Ltd
496,Innovexia Life Sciences Pvt Ltd
497,Cadomed Pharmaceuticals Pvt Ltd
498,MDC Pharmaceuticals Pvt Ltd
499,Alisier Drugs Pvt Ltd
502,Syncom Formulations I Limited
503,Alencure Biotech Pvt Ltd
505,Arvincare Pharma
506,Rapross Pharmaceuticals Pvt Ltd
512,Ethics Health Care Pvt Ltd
513,Laxian Healthcare
515,Boots Lifesciences Ltd
516,Remantra Pharma
523,Winmac Laboratories Ltd
524,Lifecare Neuro Products Ltd
527,Chemo Biological
528,Radicura Pharma pvt ltd ltd
